ProductID,ProductName,ProductVersion,Count
16949299,  BatchRename,1.6,1
16780035,  BESClientSetup,4.1.0.43,11794
17069857,  bintext,"3, 0, 0, 1",2
17065297,  BrClsMsg,"1, 0, 0, 2",2
17072092,  EraseFilter,"1, 0, 1, 8",1
17246922,  FindComPort,"1, 0, 0, 1",1
16821688,  iconmgr,"1, 0, 0, 1",163
16841342,  Jp2Conv,"1, 2, 0, 3",5
17172132,  QTPluginInstaller,QuickTime 7.0.4,1
17191921,  QTPluginInstaller,QuickTime 7.0.3,1
17244310,  QTPluginInstaller,QuickTime 7.1,1
16858060,  setup,"1, 0, 0, 2",2
17221875,  UACTokenSvc,"1, 0, 0, 1",3
16806385,  XMas Lights,"1, 0, 0, 1",1
17144299, <updated later by setupgen at make time.>,6.0.0 build-2503617,1
16794007, <updated later by setupgen at make time.>,8.3.7 build-341836,15
17073899, <updated later by setupgen at make time.>,2.0.2 build-203138,1
17073897, <updated later by setupgen at make time.>,4.1.0 build-254719,2
16881281, <updated later by setupgen at make time.>,6.5.3 build-185404,1
17073895, <updated later by setupgen at make time.>,4.0.0 build-198790,1
17226861, <updated later by setupgen at make time.>,6.0.0 build-3561779,1
17184889, <updated later by setupgen at make time.>,6.5.1 build-126130,1
17073896, <updated later by setupgen at make time.>,4.0.0 build-253290,1
16783794, <updated later by setupgen at make time.>,7.1.4 build-385536,1
17184525, <updated later by setupgen at make time.>,8.3.7 build-433358,1
17213463, 3DxLCDCalendar,1.3.2.8789,1
16805607, 3G_GenOn Application,"1, 0, 0, 0",1
17219523, 3G_GenOn Application,"1, 0, 0, 1",1
17136036, ADelRCP Dynamic Link Library,15.16.20039.185268,64
17088311, ADelRCP Dynamic Link Library,15.10.20056.167417,33
17236929, ADelRCP Dynamic Link Library,15.23.20053.211670,9295
17160107, ADelRCP Dynamic Link Library,15.17.20050.192152,1613
16987489, ADelRCP Dynamic Link Library,15.6.30033.133277,15
17211059, ADelRCP Dynamic Link Library,15.6.30060.147031,1
17088727, ADelRCP Dynamic Link Library,15.6.30119.167404,2
17137106, ADelRCP Dynamic Link Library,15.6.30172.184584,5
17239331, ADelRCP Dynamic Link Library,15.6.30279.211677,2
17018785, ADelRCP Dynamic Link Library,15.8.20082.147029,93
17161503, ADelRCP Dynamic Link Library,15.6.30198.192149,5
16986811, ADelRCP Dynamic Link Library,15.7.20033.133275,10102
16829283, Adobe Version Cue CS2,"2, 0, 0, 0",1
16787997, Adobe Version Cue CS3,"3, 0, 0, 0",9
16781871, Adobe Version Cue CS4,"4, 0, 0, 0",17
16805134, Adobe Version Cue™,"1, 0, 0, 0",3
16780643, AIRShareInstaller Application,"1, 0, 0, 1",45
17027762, AMDCleanup Utility,"1, 5, 2, 0",220
17069101, AMDCleanup Utility,"1, 5, 7, 0",132
17071749, AMDCleanup Utility,"1, 5, 6, 0",121
17018789, AMDCleanup Utility,"1, 5, 1, 0",2
16854678, AMDCleanup Utility,"1, 4, 0, 0",6
17157628, ASFAgent,"1, 0, 0, 1",3
16998719, AT&T Communication anager,6.8.0019.0,1
17093071, AT&T Communication anager,6.8.104.0,1
16808802, AT&T Communication Manager,7.01.0210.0,2
16799562, AT&T Communication Manager,7.02.0610.0,15
16801861, AT&T Communication Manager,7.02.0110.0,2
17087724, AT&T Communication Manager,6.10.0025.0,5
17093085, Ath_Coex Application,8.0.0.300,2
16841167, Ath_Coex Application,8.0.0.270,36
16910216, Ath_Coex Application,8.0.0.183,2
17157928, Ath_Coex Application,8.0.0.240,1
16863367, Ath_Coex Application,8.0.0.292,1
16797953, ATInstallDrv,"7, 10, 0, 31",158
16782657, atishlx Application,"1, 3, 0, 1",3
16780962, atishlx Application,"1, 2, 0, 1",12
16778915, atishlx Application,"1, 2, 0, 2",87
17246742, ATTPreSetup Application,"1, 0, 17, 0",1
16824241, ATTPreSetup Application,"1, 0, 12, 0",2
17236232, Autorun Application,"1, 0, 0, 1",1
16878387, bin2iso Application,"1, 0, 0, 1",1
16812295, BindBins,"1, 1, 0, 1",3
16838220, BindContent Application,1.0.0.1,2
16890592, bmgr32,"4,0,501,0",2
16901791, bmgr32,"4,0,505,0",2
16901790, bmgr32,"4,0,101,0",2
17200447, BootSafe Application,"2, 0, 0, 1000",2
17236784, br_check Application,"4,0,123,0",1
17227275, cdcore,"5, 1, 11, 0",1
17227274, cdserver,"5, 1, 5, 0",1
17243392, CheckFiles,"1, 0, 0, 1",2
16805992, CheckLiveUpdate Application,1,2
16933987, CLDownloader,2.9.1.5621,1
17219435, CLDownloader,2.9.1.8012,1
16800433, CLDownloader,2.2.0.1813,1
16957172, CLDownloader,2.9.1.5019,2
17138528, CLDownloader,2.9.1.4502,1
17249508, CLDownloader,2.9.1.6109,1
17216338, CLDownloader,2.9.1.4825,1
16859291, CLMUI_TO Application,"1, 1, 0, 1023",13
16793518, ClrInf,"1, 0, 0, 0",7
16786158, ConvertPDF Application,"8, 0, 1291, 1, 339988",8
16786418, CopyFile Application,"6, 4, 0, 21",8
16786624, CopyFile Application,"6, 3, 0, 0",24
16808668, Corel WinDVDFs,"1, 1, 0, 0",6
16812620, CrashReport,0.0.1.8,1
16891463, CS-F1700 ADJ,2,1
17227308, Cuddevision Application,"1, 0, 0, 1",1
16795157, Customer Application,"6, 0, 16, 0",3
16779560, Daemon Application,"1, 0, 0, 1",99
16808082, Datacrypt,4.23.0,3
17134147, DeDrvLdr Application,"1, 0, 0, 4",2
16841688, DelSetupMemC Application,"1, 0, 0, 0",1
16829279, Demonstrator Application,"1, 0, 0, 3",1
16880308, Desktop Toys Window,2,1
16834899, DevInst Application,"1, 0, 0, 3",2
16778363, Difx64 Application,"1, 0, 1, 1",2040
17027713, DrUninst Application,"3, 0, 0, 6",2
